id_transaccion,fecha,quarter,region,producto,categoria,cantidad,precio_unit,descuento_pct,cliente_id,vendedor,notas
TX-000001,2026-02-02,Q1,Cusco,Monitor 27 4K,Tecnología,4,1839.73,0.05,CL-8570,Diego Salazar,Devolución parcial Q anterior
TX-000002,2026-10-10,Q4,Arequipa,Laptop Pro 15,Tecnología,25,4595.06,0.05,CL-5096,Lucía Romero,
TX-000003,2026-08-27,Q3,Trujillo,Lámpara LED,Mobiliario,28,92.18,0.2,CL-7254,Carlos Vega,Compra urgente
TX-000004,2026-06-10,Q2,Trujillo,Resma Papel A4,Suministros,36,26.7,0.0,CL-9665,Diego Salazar,"Pedido grande, descuento aplicado"
TX-000005,2026-06-08,Q2,Arequipa,Cartucho Tinta Negra,Suministros,29,73.53,0.0,CL-1432,Diego Salazar,Devolución parcial Q anterior
TX-000006,2026-11-10,Q4,Piura,Webcam HD,Electrónica,10,173.83,0.05,CL-1986,Ana Torres,Cliente premium
TX-000007,2026-02-01,Q1,Trujillo,Silla Ergonómica,Mobiliario,18,841.14,0.15,CL-9280,Ana Torres,Devolución parcial Q anterior
TX-000008,2026-09-12,Q3,Lima,Cartucho Tinta Negra,Suministros,22,78.6,0.2,CL-6111,Carlos Vega,Compra urgente
TX-000009,2026-03-15,Q1,Chiclayo,Resma Papel A4,Suministros,49,27.11,0.1,CL-6560,Lucía Romero,Cliente premium
TX-000010,2026-02-04,Q1,Lima,Teclado Mecánico,Tecnología,27,343.66,0.1,CL-4071,José Luis Quispe,Primera compra
TX-000011,2026-07-12,Q3,Trujillo,Auriculares BT,Electrónica,32,224.95,0.2,CL-8440,José Luis Quispe,
TX-000012,2026-12-23,Q4,Cusco,Laptop Pro 15,Tecnología,37,4504.13,0.0,CL-6816,María Fernández,"Pedido grande, descuento aplicado"
TX-000013,2026-09-26,Q3,Trujillo,Lámpara LED,Mobiliario,18,90.67,0.2,CL-3319,María Fernández,"Pedido grande, descuento aplicado"
TX-000014,2026-10-05,Q4,Piura,Webcam HD,Electrónica,48,173.91,0.05,CL-6837,José Luis Quispe,Compra urgente
TX-000015,2026-09-19,Q3,Piura,Lámpara LED,Mobiliario,34,99.13,0.05,CL-1034,Ana Torres,
TX-000016,2026-10-14,Q4,Trujillo,Webcam HD,Electrónica,42,172.86,0.2,CL-3165,José Luis Quispe,Cliente recurrente
TX-000017,2026-07-07,Q3,Chiclayo,Laptop Pro 15,Tecnología,37,4560.79,0.15,CL-2835,Carlos Vega,
TX-000018,2026-02-16,Q1,Piura,Escritorio Ajustable,Mobiliario,31,1235.08,0.1,CL-8071,Lucía Romero,Primera compra
TX-000019,2026-11-03,Q4,Piura,Cartucho Tinta Negra,Suministros,2,73.24,0.05,CL-7615,Carlos Vega,Primera compra
TX-000020,2026-06-14,Q2,Cusco,Lámpara LED,Mobiliario,29,97.14,0.1,CL-1821,Ana Torres,Devolución parcial Q anterior
TX-000021,2026-07-02,Q3,Arequipa,Auriculares BT,Electrónica,7,212.74,0.15,CL-9157,María Fernández,
TX-000022,2026-05-16,Q2,Arequipa,Silla Ergonómica,Mobiliario,30,831.7,0.0,CL-8362,María Fernández,
